"Scope: to support the registration, discovery and search of devices in IoT infrastructures... Also retrieve and update... ",,,,,,,,,,,
Requirement,,,,,,,,,,Ontology Code - Traceability,
Identifier (domain+id),Responsible partner,"Competency Question /
 Natural language sentence (fact)",Answer,"Status (Proposed, Accepted, Rejected, Deprecated)",Superseded by,Comments,Extracted from (provenance),"Priority 
(High, Medium, Low)",Relation with other requirements,Associated ontology elements,
tour1,UPM,What are the attributes of an activity?,"Identifier, hidden description, long description, short description, isBookable, externalBookingURL",,,,,,,,
tour2,UPM,An activity have difficulty,,,,,,,,,
tour3,UPM,"There are five types of activity difficulty: Very easy, easy, medium, hard, very hard",,,,,,,,,
tour4,UPM,An activity have a Channel,,,,,,,,,
tour5,UPM,What are the attributes of a channel?,"idChannel, channelName",,,,,,,,
tour6,UPM,An activity have a price,,,,,,,,,
tour7,UPM,What are the attributes of a price?,amount,,,,,,,,
tour8,UPM,An activity can be an event,,,,,,,,,
tour9,UPM,What are the attributes of an event?,"start, end",,,,,,,,
tour10,UPM,An activity can be a tour ,,,,,,,,,
tour11,UPM,An activity have a language ,,,,,,,,,
tour12,UPM,An activity have a location,,,,,,,,,
tour13,UPM,What are the attributes of a location (point)?,"lat, long, alt",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
